time bp_transducer_voltage trigger
2015-04-14-13-42-281000: 2.05111032781 -1.0
2015-04-14-13-42-296000: 2.0599728083 -1.0
2015-04-14-13-42-312000: 2.37771287577 -1.0
2015-04-14-13-42-328000: 2.44282189436 -1.0
2015-04-14-13-42-343000: 2.46648874566 -1.0
2015-04-14-13-42-359000: 2.46376957551 -1.0
2015-04-14-13-42-375000: 2.4673447807 2.4703447807
2015-04-14-13-42-390000: 2.43572183896 -1.0
2015-04-14-13-42-406000: 2.4145727378 -1.0
2015-04-14-13-42-421000: 2.39790523188 -1.0
2015-04-14-13-42-437000: 2.33405508837 -1.0
2015-04-14-13-42-453000: 2.21909461705 -1.0
2015-04-14-13-42-468000: 2.24407069842 -1.0
2015-04-14-13-42-500000: 2.22287124226 -1.0
2015-04-14-13-42-500000: 2.21149101163 -1.0
2015-04-14-13-42-515000: 2.20202427111 -1.0
2015-04-14-13-42-546000: 2.18701848029 -1.0
2015-04-14-13-42-562000: 2.1709048794 -1.0
2015-04-14-13-42-578000: 2.16068281384 -1.0
2015-04-14-13-42-593000: 2.15353240344 -1.0
2015-04-14-13-42-609000: 2.13354146734 -1.0
2015-04-14-13-42-625000: 2.12246336674 -1.0
2015-04-14-13-42-640000: 2.11395337127 -1.0
2015-04-14-13-42-656000: 2.09919935546 -1.0
2015-04-14-13-42-671000: 2.08963190493 -1.0
2015-04-14-13-42-687000: 2.0818772345 -1.0
2015-04-14-13-42-703000: 2.0708998439 -1.0
2015-04-14-13-42-718000: 2.06319552848 -1.0
2015-04-14-13-42-734000: 2.06823102875 -1.0
2015-04-14-13-42-750000: 2.35656377461 -1.0
2015-04-14-13-42-765000: 2.46296389546 -1.0
2015-04-14-13-42-781000: 2.46799939574 -1.0
2015-04-14-13-42-796000: 2.50073014754 -1.0
2015-04-14-13-42-812000: 2.48622790674 2.48922790674
2015-04-14-13-42-828000: 2.46397099552 -1.0
2015-04-14-13-42-843000: 2.44559141951 -1.0
2015-04-14-13-42-859000: 2.41729190795 -1.0
